Row No.,Sale Date,Sale Type,Digital,Customer ID,ZipCode,Shipping Method,Product,Variant,Quantity,Price,Product Price
2,22/11/2019,Direct - B2B,Online - Website,1,437050,Standard Delivery,Chili oil,100,3,5.9,17.7
3,22/11/2019,Consignment,Online - Website,2,126793,Standard Delivery,Organic Bio/Olio,500,2,16.9,33.8
4,22/11/2019,Marketing,Online - Website,2,126793,Standard Delivery,Basil oil,100,1,5.9,5.9
5,22/11/2019,Marketing,Online - Website,2,126793,Standard Delivery,Truffle oil,100,8,7.9,63.2
6,22/11/2019,Marketing,Online - Website,2,126793,Standard Delivery,Chili oil,100,1,5.9,5.9
7,22/11/2019,Marketing,Online - Website,2,126793,Standard Delivery,Lemon oil,100,2,5.9,11.8
8,22/11/2019,Marketing,Online - Website,2,126793,Standard Delivery,Organic Bio/Olio,100,12,5.9,70.8
9,22/11/2019,Marketing,Online - Website,2,126793,Standard Delivery,Chili oil,100,1,5.9,5.9
10,22/11/2019,Consignment,Online - Website,1,437050,Standard Delivery,Chili oil,100,6,5.9,35.4
11,22/11/2019,Consignment,Online - Website,1,437050,Standard Delivery,Lemon oil,100,6,5.9,35.4
12,22/11/2019,Consignment,Online - Website,1,437050,Standard Delivery,Organic Bio/Olio,100,6,5.9,35.4
13,22/11/2019,Consignment,Online - Website,1,437050,Standard Delivery,Truffle oil,100,6,7.9,47.4
14,22/11/2019,Consignment,Online - Website,1,437050,Standard Delivery,Basil oil,100,6,5.9,35.4
15,22/11/2019,Consignment,Online - Website,1,437050,Standard Delivery,Garlic and Rosemary oil,100,6,5.9,35.4
16,30/11/2019,Marketing,Online - Website,3,608830,Standard Delivery,Limited Edition Gift box 3x100ml,2020,1,19.9,19.9
17,01/12/2019,Direct - B2B,Online - Website,3,608830,Standard Delivery,Limited Edition Gift box 3x100ml,2020,25,19.9,497.5
18,01/12/2019,Marketing,Online - Website,3,608830,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,5.9
19,01/12/2019,Marketing,Online - Website,3,608830,Standard Delivery,Chili oil,100,1,5.9,5.9
20,01/12/2019,Marketing,Online - Website,3,608830,Standard Delivery,Basil oil,100,1,5.9,5.9
21,02/12/2019,Direct - B2C,Online - Website,4,570110,Standard Delivery,Limited Edition Gift box 3x100ml,2020,4,19.9,63.68
22,03/12/2019,Direct - B2C,Online - Website,4,570110,Standard Delivery,Limited Edition Gift box 3x100ml,2020,6,19.9,95.52
23,03/12/2019,Direct - B2C,Online - Website,4,570110,Standard Delivery,Lemon oil,250,2,11.9,19.04
24,03/12/2019,Direct - B2C,Online - Website,5,328498,Standard Delivery,Limited Edition Gift box 3x100ml,2020,3,19.9,47.76
